filename,title,college,level,url
Sustainability_Solutions_Certificate.txt,Sustainability Solutions Certificate,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/sustainability-solutions/index.php
Sustainable_Water_Management_Certificate.txt,Sustainable Water Management Certificate,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/sustainable-water-management/index.php
Teaching_English_as_a_Second_Language_Certificate.txt,Teaching English as a Second Language Certificate,Education,Undergraduate,https://programs.usask.ca/education/post-degree-certificate-in-english-as-an-additional-language-education/index.php
Teaching_English_to_Speakers_of_Other_Languages.txt,Teaching English to Speakers of Other Languages,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/teaching-english-speakers-other-languages/index.php
Teaching_Preparation_Certificate.txt,Teaching Preparation Certificate,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/teaching-preparation-certificate/index.php
Teaching_and_Learning_in_Health_Professions_Education_Certificate.txt,Teaching and Learning in Health Professions Education Certificate,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/teaching-learning-health-professions/index.php
The_University_Catalogue_is_the_University_of_Saskatchewans_official_source_of_c.txt,"The University Catalogue is the University of Saskatchewan’s official source of course and program information. This Catalogue is effective May 1, 2026 to April 30, 2027.",Unknown,Undergraduate,https://programs.usask.ca/index.php
Toxicology.txt,Toxicology,Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/toxicology/index.php
Toxicology_295.txt,Toxicology,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/toxicology/index.php
Ukrainian.txt,Ukrainian,Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/ukrainian/index.php
Ukrainian_Studies_Certificate.txt,Ukrainian Studies Certificate,Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/ukrainian-studies/index.php
Urban_Design_Certificate.txt,Urban Design Certificate,Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/urban-design-cert/index.php
Vaccinology_and_Immunotherapeutics.txt,Vaccinology and Immunotherapeutics,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/vaccinology-and-immunotherapeutics/index.php
Veterinary_Biomedical_Sciences.txt,Veterinary Biomedical Sciences,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/veterinary-biomedical-sciences/index.php
Veterinary_Diagnostic_Pathology_Certificate.txt,Veterinary Diagnostic Pathology Certificate,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/vet-diagnostic-pathology-certificate/index.php
Veterinary_Medicine.txt,Veterinary Medicine,Veterinary Medicine,Undergraduate,https://programs.usask.ca/veterinary-medicine/dvm/index.php
Veterinary_Microbiology.txt,Veterinary Microbiology,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/veterinary-microbiology/index.php
Veterinary_Pathology.txt,Veterinary Pathology,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/veterinary-pathology/index.php
Water_Resources_Certificate.txt,Water Resources Certificate,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/water-resources/index.php
Water_Science_Certificate.txt,Water Science Certificate,Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/water-science-cert/index.php
Water_Science_Certificate_307.txt,Water Science Certificate,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/water-science/index.php
Water_Security.txt,Water Security,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/water-security/index.php
Writing.txt,Writing,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/writing/index.php
wîcêhtowin_Theatre_Certificate.txt,wîcêhtowin Theatre Certificate,Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/wicehtowin-theatre/index.php
